place-1,country,"Scotland"
place-1,city,"Edinburgh"
name-14,TYPE,c-name
name-14,last-name,"Connery"
name-14,first-name,"Joseph"
birth-event-3,TYPE,c-birth-event
birth-event-3,date,date-9
father-relative-1,TYPE,c-father-relative
father-relative-1,relative,person-53
date-16,TYPE,c-date
date-16,month,8
date-16,day,25
date-16,year,1930
person-43,TYPE,c-person
person-43,name,name-11
name-10,TYPE,c-name
name-10,last-name,"Sean Connery"
name-10,first-name,"Thomas"
film-made-1,TYPE,c-film-made
film-made-1,builder,person-1
film-made-1,built,film-1
film-1,TYPE,c-film
film-1,name,name-22
name-22,TYPE,c-name
name-22,full,""The Untouchables""
date-15,TYPE,c-date
date-15,year,1987
wn-actor-1-1,TYPE,c-wn-actor-1
wn-driver-1-1,TYPE,c-wn-driver-1
date-10,TYPE,c-date
date-10,year,1990
name-2,TYPE,c-name
name-2,last-name,"Connery"
name-2,first-name,"Euphamia"
date-18,TYPE,c-date
date-18,year,1987
grandson-relative-1,TYPE,c-grandson-relative
grandson-relative-1,relative,person-27
name-11,TYPE,c-name
name-11,last-name,"Connery"
name-11,first-name,"Neil"
name-11,given-name,"Sean"
name-4,TYPE,c-name
name-4,last-name,"Joseph Connery"
name-4,first-name,"Jason"
birth-event-2,TYPE,c-birth-event
birth-event-2,date,date-6
birth-event-2,father,person-1
birth-event-2,mother,person-2
date-14,TYPE,c-date
date-14,year,1998
wn-producer-2-1,TYPE,c-wn-producer-2
person-27,TYPE,c-person
person-27,birth,birth-event-3
person-27,name,name-6
date-7,TYPE,c-date
date-7,year,1998
person-19,TYPE,c-person
person-19,birth,birth-event-2
person-19,name,name-4
date-12,TYPE,c-date
date-12,year,1993
date-6,TYPE,c-date
date-6,month,"January"
date-6,day,11
date-6,year,1963
canned-education-event-1,TYPE,c-canned-education-event
canned-education-event-1,canned-text," Dropped out of school at age 13 "
name-3,TYPE,c-name
name-3,first-name,"James"
name-3,last-name,"Bond"
